Name,Supplier URL
Support material centrifuge tubes,
Falcon™ 50mL Conical Centrifuge Tubes,https://www.amazon.com/FALCON-CENTRIFUGE-TUBES-POLYPROPYLENE-STERILE/dp/B0762SW6WM
"50 mL Centrifuge Tubes, Self Standing, Jet Bio, Sterile",https://www.amazon.com/dp/B0763R5YRC
,
"Centrifuges, 2000rpm+, 50mL tube capable",
Waverly Mini Centrifuges CL4M,https://www.amazon.com/dp/B078T38LB3
"Premiere XC-2450, Bench-Top Centrifuge",https://www.amazon.com/dp/B016CWWONU
,
"Syringe covers, centrifuge tubes 15ml",
BIPEE 15ml Round Bottom Plastic Centrifuge Tube,https://www.amazon.com/BIPEE-Plastic-Centrifuge-Graduated-Laboratory/dp/B00UJGNSD6
,
"Syringes 2.5ml, 5ml, 10ml, needle purchased separately",
"Hamilton Gastight 2.5ml PTFE Luer lock, #81420",https://www.amazon.com/Hamilton-81420-1002Tll-Syringe-2-5/dp/B00SBA496W
"Hamilton Gastight 5ml PTFE Luer lock, #81520",https://www.amazon.com/Hamilton-81520-Tight-Syringe-Luer/dp/B00SBDG7FK
"Hamilton Gastight 10ml PTFE Luer lock, #81620",https://www.amazon.com/Hamilton-81620-1010Tll-Syringe-10/dp/B00SBA5HXG
,
Syringe dispensing needles,
Luer lock dispensing needle 30ga x 0.5”,https://www.amazon.com/Industrial-Unsterilized-Blunt-Dispensing-Needle/dp/B01EO7692C
"Jensen Global JG30-0.5X 30 Gauge 0.5"" IT Series Dispensing Tip 50/Box",https://www.jensentools.com/jensen-global-jg30-0-5x-30-gauge-0-5-it-series-dispensing-tip-50-box/p/442-563
Luer lock dispensing needle 27ga x 0.5”,https://www.amazon.com/Needles-Dispensing-Syringe-Needle-Pieces/dp/B07FS9PTMH
,
Petri dishes,
"35mm Diameter Petri Dish, pk 100",https://www.amazon.com/American-Educational-Plastic-Culture-Bundle/dp/B008FRENKS
